"Date Posted","Document ID",Author,"Document Title",Categories,"File URL","Last Modified"
11/11/2025,545803,Polly.smith,"Activity Calendar &#8211; January 2026","Tools and Templates, Activities, Activity Calendars",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/11/2026-Activity-Calendar-January.docx,"November 11, 2025 @ 10:36 am by polly.smith"
10/24/2025,545773,Polly.smith,"New Test Document Posted","Tools and Templates, MDS, Supplemental Tools",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/09/MDS-Assessment-and-Interviewing-Instructions.pdf,"November 11, 2025 @ 10:26 am by Lee-Ann.Arner"
09/24/2025,472536,Polly.smith,"Mega Rule Phase 3 Policy and Tools List","Tools and Templates, Survey Management, Survey Management Tools",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/09/Phase-3-MEGA-Rule-Policy-and-Tools-List.pdf,"September 24, 2025 @ 1:55 pm by polly.smith"
08/29/2025,545657,Michele.mummert,"Transmittal #13385 &#8212; Updates of Chapter 3 and the Appendices Chapter in Publication (Pub.) 100-15, Including Updates to the Medicaid Proactive Project Development Process","Financial, CMS Manuals, Transmittals, Transmittals: 100-15 Medicaid Program Integrity Manual",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Transmittal-13385MPI.pdf,"August 29, 2025 @ 2:32 pm by Michele.mummert"
08/29/2025,545654,Michele.mummert,"Mobile Power Unit AC Power Cord Recall: Abbott Medical Removes AC Power Cord Associated with HeartMate Mobile Power Unit (MPU) Due to Potential Risk of the Cord Not Locking into Place","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Abbott-Medical-Removes-HeartMate-AC-Power-Cord.pdf,"August 29, 2025 @ 1:42 pm by Michele.mummert"
08/29/2025,545652,Michele.mummert,"DermaRite Industries Expands Voluntary Nationwide Recall Due to Potential Burkholderia cepacia Contamination","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/DermaRite-Expands-Voluntary-Recall-Burkholderia.pdf,"August 29, 2025 @ 1:31 pm by Michele.mummert"
08/29/2025,545644,Michele.mummert,"Breathing Circuit Set Recall: Hamilton Medical, Inc. Removes Coaxial Breathing Circuit Set Due to Possible Inner Blue Tube Cracks That May Impact Ventilation","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Hamilton-Medical-Coaxial-Breathing-Circuit-Set-Recall.pdf,"August 29, 2025 @ 1:18 pm by Michele.mummert"
08/29/2025,545636,Michele.mummert,"Manual Resuscitator Recall: Ambu Inc. Removes SPUR II Resuscitators Due to Blocked Manometer Port","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Ambu-Inc.-Manual-Resuscitator-Recall.pdf,"August 29, 2025 @ 10:16 am by Michele.mummert"
08/29/2025,545625,Michele.mummert,"Long-Term Care Facility Resident Assessment Instrument 3.0 User&#8217;s Manual Version 1.20.1","MDS 3.0, *RAI Manual, MDS 3.0 Updates",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Final-MDS-3.0-RAI-Manual-v.-1.20.-1-October-2025.pdf,"August 29, 2025 @ 8:20 am by Michele.mummert"
08/29/2025,40908,Lee-Ann.Arner,"State Agency and CMS Locations RAI/MDS Contacts","MDS 3.0, Appendices, Appendix B",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/RAI-Manual-Appendix-B-August-2025.pdf,"August 29, 2025 @ 8:43 am by Michele.mummert"
08/28/2025,545514,Michele.mummert,"Ventilator Correction: Hamilton Medical AG Corrects HAMILTON-C6 Due to Risk of Ventilation Interruption from Defective Circuit Board","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcssecurestg.kinsta.cloud/wp-content/uploads/documents/2025/08/Hamilton-Medical-AG-Correction-Hamilton-C6.pdf,"August 28, 2025 @ 3:27 pm by Michele.mummert"
