"Date Posted","Document ID",Author,"Document Title",Categories,"File URL","Last Modified"
08/29/2025,545657,Michele.mummert,"Transmittal #13385 &#8212; Updates of Chapter 3 and the Appendices Chapter in Publication (Pub.) 100-15, Including Updates to the Medicaid Proactive Project Development Process","Financial, CMS Manuals, Transmittals, Transmittals: 100-15 Medicaid Program Integrity Manual",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Transmittal-13385MPI.pdf,"August 29, 2025 @ 2:32 pm by Michele.mummert"
08/29/2025,545654,Michele.mummert,"Mobile Power Unit AC Power Cord Recall: Abbott Medical Removes AC Power Cord Associated with HeartMate Mobile Power Unit (MPU) Due to Potential Risk of the Cord Not Locking into Place","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Abbott-Medical-Removes-HeartMate-AC-Power-Cord.pdf,"August 29, 2025 @ 1:42 pm by Michele.mummert"
08/29/2025,545652,Michele.mummert,"DermaRite Industries Expands Voluntary Nationwide Recall Due to Potential Burkholderia cepacia Contamination","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/DermaRite-Expands-Voluntary-Recall-Burkholderia.pdf,"August 29, 2025 @ 1:31 pm by Michele.mummert"
08/29/2025,545644,Michele.mummert,"Breathing Circuit Set Recall: Hamilton Medical, Inc. Removes Coaxial Breathing Circuit Set Due to Possible Inner Blue Tube Cracks That May Impact Ventilation","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Hamilton-Medical-Coaxial-Breathing-Circuit-Set-Recall.pdf,"August 29, 2025 @ 1:18 pm by Michele.mummert"
08/29/2025,545636,Michele.mummert,"Manual Resuscitator Recall: Ambu Inc. Removes SPUR II Resuscitators Due to Blocked Manometer Port","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Ambu-Inc.-Manual-Resuscitator-Recall.pdf,"August 29, 2025 @ 10:16 am by Michele.mummert"
08/29/2025,545625,Michele.mummert,"Long-Term Care Facility Resident Assessment Instrument 3.0 User&#8217;s Manual Version 1.20.1","MDS 3.0, *RAI Manual, MDS 3.0 Updates",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Final-MDS-3.0-RAI-Manual-v.-1.20.-1-October-2025.pdf,"August 29, 2025 @ 8:20 am by Michele.mummert"
08/29/2025,40908,Lee-Ann.Arner,"State Agency and CMS Locations RAI/MDS Contacts","MDS 3.0, Appendices, Appendix B",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/RAI-Manual-Appendix-B-August-2025.pdf,"August 29, 2025 @ 8:43 am by Michele.mummert"
08/28/2025,545514,Michele.mummert,"Ventilator Correction: Hamilton Medical AG Corrects HAMILTON-C6 Due to Risk of Ventilation Interruption from Defective Circuit Board","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Hamilton-Medical-AG-Correction-Hamilton-C6.pdf,"August 28, 2025 @ 3:27 pm by Michele.mummert"
08/28/2025,545508,Michele.mummert,"Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices &#8212; United States, 2025-26 Influenza Season","Regulatory Agencies, CDC, Immunization",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/CDC-Immunization-ACIP-Recommendations-2025-2026-Influenza-Season.pdf,"August 28, 2025 @ 2:41 pm by Michele.mummert"
08/28/2025,545504,Michele.mummert,"Applicator Recall:  Integra LifeSciences Removes Extended Tip Applicator Due to Potential Sterility and Endotoxin Concerns","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Integra-LifeSciences-Extended-Tip-Applicator-Recall.pdf,"August 28, 2025 @ 1:49 pm by Michele.mummert"
08/28/2025,545500,Michele.mummert,"Infusion Pump Correction: ICU Medical, Inc. Issues Correction for Plum Duo Infusion System Due to Software Possibly Resulting in Pump Becoming Unresponsive","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/ICU-Medical-Plum-Duo-Infusion-System.pdf,"August 28, 2025 @ 1:30 pm by Michele.mummert"
08/28/2025,543471,Lee-Ann.Arner,"iQIES Assessment Management: Assessment Submitter Manual Version 2.1","MDS 3.0, iQIES",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/iQIES-Assessment-Managment-Manual-for-Assessment-Submitter-v2.1.pdf,"August 28, 2025 @ 10:03 am by Michele.mummert"
08/28/2025,36347,Josh.stuedeman,"A Prescriber&#8217;s Guide to Medicare Prescription Drug (Part D) Opioid Policies","Regulatory Agencies, CMS, Medicare, Part D, Fact Sheets, Provider Guides",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/CMS-Medicare-Provider-Guides-Medicare-Part-D-Opioid-Policies-Aug-2025.pdf,"August 28, 2025 @ 10:38 am by Michele.mummert"
