"Document Last Modified","Document ID","Document Title",Categories,"File URL"
"November 2, 2020 @ 10:25 am by polly.smith",36177,"Policies and Procedures Table of Contents","Assisted Living, Tools and Templates, Policies and Procedures, * Table of Contents for P&amp;Ps, Administration, Government Initiatives, MEGA Rule, Phase 1, Policies and Procedures, *Table of Contents for P&amp;Ps, Administration, Tools and Templates, Policies and Procedures, *Table of Contents for P&amp;Ps, Administration",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/11/Policy-and-Procedures-Table-of-Contents.pdf
"November 2, 2020 @ 9:56 am by polly.smith",457220,"Hemodialysis Policy","Assisted Living, Tools and Templates, Policies and Procedures, Nursing, Clinical, Government Initiatives, MEGA Rule, Phase 1, Policies and Procedures, Nursing, Clinical, Tools and Templates, Policies and Procedures, Nursing, Clinical",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/11/Hemodialysis-Policy.docx
"October 30, 2020 @ 5:08 pm by Lee-Ann.Arner",457217,"Sunstar Americas Inc. Issues Recall of Paroex Chlorhexidine Gluconate Oral Rinse","Assisted Living, Regulations, FDA, Recalls and Notices, Regulatory Agencies, FDA, Recalls and Notices",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/Sunstar-Americas-Paroex-Recall.pdf
"October 30, 2020 @ 4:50 pm by Lee-Ann.Arner",455532,"CARES Act Provider Relief Fund FAQs (Updated 10/28/20)","Assisted Living, Regulations, CDC, Coronavirus, Fact Sheets and Posters, Regulatory Agencies, CDC, Coronavirus, Fact Sheets and Posters, HHS",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-Coronavirus-CARES-Act-Provider-Relief-Fund-FAQs.pdf
"October 30, 2020 @ 4:38 pm by Lee-Ann.Arner",457214,"Tuberculosis in the United States, 1993-2019 Presentation and Slide Deck Narrative","Assisted Living, Regulations, CDC, Tuberculosis, Regulatory Agencies, CDC, Tuberculosis",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-TB-US-1993-2019-Slide-Deck-and-Narrative.pdf
"October 30, 2020 @ 4:11 pm by Lee-Ann.Arner",457211,"COVID-19 Nursing Home Data (October 18, 2020)","Survey and Certification, COVID-19 Nursing Home Data",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/COVID-19-Data-102920.xlsx
"October 30, 2020 @ 3:08 pm by Lee-Ann.Arner",457209,"Transmittal #10434 -   Update to Chapter 10 of Publication (Pub.) 100-08 - Enrollment Policies for Home Infusion Therapy (HIT) Suppliers","Financial, CMS Manuals, Transmittals, Transmittals: 100-08 Medicare Program Integrity Manual",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/Transmittal-10434PI.pdf
"October 30, 2020 @ 2:53 pm by Lee-Ann.Arner",456898,"COVIDView Week 41 (Week Ending October 10, 2020)","Assisted Living, Regulations, CDC, Coronavirus, Fact Sheets and Posters, Regulatory Agencies, CDC, Coronavirus, Fact Sheets and Posters",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-Coronavirus-COVIDView-Week-41.pdf
"October 30, 2020 @ 2:53 pm by Lee-Ann.Arner",457207,"COVIDView Week 43 (Week Ending October 24, 2020)","Assisted Living, Regulations, CDC, Coronavirus, Fact Sheets and Posters, Regulatory Agencies, CDC, Coronavirus, Fact Sheets and Posters",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-Coronavirus-COVIDView-Week-43.pdf
"October 30, 2020 @ 2:41 pm by Lee-Ann.Arner",23572,"Federal Health IT Strategic Plan (2020-2025)","Regulatory Agencies, ONC",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/09/ONC-Federal-Health-IT-Strategic-Plan-2020-2025.pdf
"October 30, 2020 @ 8:54 am by Lee-Ann.Arner",451086,"CMS COVID-19 FAQs on Medicare Fee-for-Service (FFS) Billing (October 28, 2020 Update)","Assisted Living, Regulations, CDC, Coronavirus, Guidance Documents, Regulatory Agencies, CDC, Coronavirus, Guidance Documents, CMS, Medicare, Fact Sheets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-Coronavirus-COVID-19-Medicare-FFS-FAQS.pdf
"October 30, 2020 @ 8:30 am by Lee-Ann.Arner",457203,"Baxter Issues Urgent Device Correction to Reinforce Important Safety Information Regarding Sigma Spectrum Infusion Pumps","Assisted Living, Regulations, FDA, Medical Devices, Regulatory Agencies, FDA, Medical Devices",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/FDA-Baxter-Device-Correction-Sigma-Spectrum-Infusion-Pumps.pdf
"October 29, 2020 @ 4:48 pm by Lee-Ann.Arner",457202,"Brief Interview for Mental Status (BIMS) Video Tutorial","Assisted Living, Tools and Templates, Staff Development, MDS, Tools and Templates, Staff Development, MDS",
"October 29, 2020 @ 3:26 pm by Lee-Ann.Arner",457199,"SARS-CoV-2 Exposure and Infection Among Healthcare Personnel - Minnesota, March 6-July 11, 2020","Assisted Living, Regulations, CDC, MMWRs, Regulatory Agencies, CDC, MMWRs",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/CDC-MMWR-SARS-CoV-2-Exposure-Infection-HCP.pdf
"October 29, 2020 @ 1:39 pm by polly.smith",27993,"F-607: Failure to Follow Policies and Procedures re: Alleged Violations (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F607-Failure-to-Follow-P-and-Ps-re-Alleged-Violations-POC.docx
"October 29, 2020 @ 1:25 pm by polly.smith",27990,"F-584: Failure to Provide a Safe, Clean, Comfortable and Homelike Environment (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F584-Failure-to-Provide-a-Safe-Clean-Comfortable-and-Homelike-Environment-POC.doc
"October 29, 2020 @ 1:17 pm by Michele.mummert",457176,"COVID-19 Supporting Your Loved One in a Long-Term Care Facility Poster","Assisted Living, Regulations, CDC, Coronavirus, Fact Sheets and Posters, Regulatory Agencies, CDC, Coronavirus, Fact Sheets and Posters",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/COVID-19-Supporting-Loved-One-in-LTC-Poster.pdf
"October 29, 2020 @ 1:09 pm by polly.smith",27986,"F-580: Failure to Notify Physician Regarding a Significant Weight Loss (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F580-Failure-to-Notify-Physician-Regarding-a-Significant-Weight-Loss-POC.docx
"October 29, 2020 @ 1:06 pm by polly.smith",27985,"F-580: Failure to Notify for a Decline in Cognition (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F580-Failure-to-Notify-for-a-Decline-in-Cognition-POC.docx
