"Document ID","Document Title",Categories,"Number of Downloads"
511368,"Foreign Body Airway Obstruction Management (Choking) Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",11
525569,"November 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",10
38238,"Cardiopulmonary Resuscitation (CPR) Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",10
39428,"Inservice Sign In Sheet","*Inservice Sign In Sheet, Staff Development, Tools and Templates",9
549181,"Senate Letter Regarding Implementation and Enforcement of Remaining Staffing Rule Provisions","Congress, Regulatory Agencies",8
451337,"Falls Prevention Training Presentation Handouts","Falls Prevention, Falls Prevention and Management, Nursing, Staff Development, Tools and Templates, Training",7
461240,"Return to Work Criteria for Healthcare Personnel with COVID-19 Infection or Exposure to COVID-19 Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",7
451552,"Glucometer Disinfection Validation Checklist","Competencies and Skills, Diabetes, Infection Control, Prevention, Staff Development, Tools and Templates",7
457877,"Dementia Care: A Care Solution","Care Solutions, Care Solutions, Nursing, Social Services, Tools and Templates",6
36473,"Insulin 28 Day Expiration Date Calculator","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",6
37035,"Staff Responsibilities for Evacuation &#8211; Checklists","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Roles and Responsibilities, Roles and Responsibilities, Safety, Tools and Templates",6
40893,"Binder Basics: Falls Prevention","Binder Basics, Falls Prevention, Nursing, Tools and Templates",6
444360,"Enhanced Barrier Precautions Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",5
546929,"Five Star Ratings (September 2025)","Five Star Quality Rating System, Star Ratings, Survey and Certification",5
458022,"COVID-19 Vaccine Consent Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",5
36897,"Elopements and Wandering Residents Policy","Administration, Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",5
27919,"F-Tag Regulatory Grouping Chart","Appendix PP (F-Tags), Survey and Certification",5
36261,"Nursing Services and Sufficient Staff Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",5
540063,"Bladder Ultrasonography/Scanning Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",5
456593,"Destruction of Dangerous Drugs and Controlled Substances Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",5
453982,"Resident Aggression: Understanding and Managing Difficult Behaviors Training Presentation Handout","Behavioral Health Services, Social Services, Staff Development, Tools and Templates, Training",5
39943,"Emergency Procedures: Basic Preparedness and Regulatory Requirements Training Presentation Pre-Post Test (Questions with Answer Key)","Administrative, Competencies and Skills, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Safety, Staff Development, Testing and Training, Testing and Training, Tools and Templates",4
40226,"Resident Rights and Facility Responsibilities Training Presentation Handouts","Resident Rights, Social Services, Social Services, Staff Development, Tools and Templates, Training",4
39992,"Hand Hygiene Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Infection Control, Infection Control, Nursing, Prevention, Staff Development, Tools and Templates, Training",4
39415,"Abuse, Neglect, and Exploitation Investigation Training Presentation Pre-Post Test (Questions with Answer Key)","Abuse, Abuse, Neglect, and Exploitation Investigation, Competencies and Skills, Social Services, Social Services, Staff Development, Tools and Templates, Training",4
27796,"F-689 Free of Accident Hazards / Supervision / Devices","Appendix PP (F-Tags), Survey and Certification",4
37646,"Quality Reporting: Drug Regimen Review Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",4
468145,"Psychotropic Medication Informed Consent Form","Forms and Checklists, Forms for Medication Management, Medication Management, Nursing, Social Services, Tools and Templates",4
37608,"Baseline Care Plan Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",4
39933,"Effective Communication Training Handouts","Effective Communication, Staff Development, Tools and Templates",4
38388,"Medication Administration via Enteral Tube Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",4
459366,"Flushing and Locking a Central Venous Access/Midline/PICC Catheter Validation Checklist","Competencies and Skills, IV Care, Staff Development, Tools and Templates",4
39954,"Falls Prevention Training Presentation","Falls Prevention, Falls Prevention and Management, Nursing, Staff Development, Tools and Templates, Training",4
28005,"F-657: Failure to Conduct a Care Plan Conference with Resident/Resident Representative (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",4
38166,"Clean Dressing Change Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",4
35055,"Binder Basics: Staff Development (Binder Spine)","Binder Basics, Program Development, Staff Development, Tools and Templates",4
39410,"Abuse, Neglect, and Exploitation Investigation Training Presentation","Abuse, Abuse, Neglect, and Exploitation Investigation, Social Services, Social Services, Staff Development, Tools and Templates, Training",4
