"Company Name","Company Status",State,"Date Created","Created By","Last Modified on"
"428 Health Care",disable,FL,"2023-05-01 08:52:32",lorrel.filliater,"2024-05-15 11:16:51 by lorrel.filliater"
" -Assisted Living of Pompano Beach",none,FL,"2023-05-01 08:58:41",lorrel.filliater,
" -Emerald Park of Hollywood",none,FL,"2023-05-01 08:54:13",lorrel.filliater,
" -Harbor House of Ocala",none,FL,"2023-05-01 08:55:58",lorrel.filliater,"2024-08-06 14:52:30 by lorrel.filliater"
" -Harmony House of Ocala",none,FL,"2023-05-01 08:55:31",lorrel.filliater,
" -Heron House of Largo",none,FL,"2023-05-01 08:56:23",lorrel.filliater,
" -Landon Hall of Bradenton",none,FL,"2023-05-01 08:55:01",lorrel.filliater,
" -Merriment Assisted Living",none,FL,"2023-05-01 08:53:01",lorrel.filliater,
" -Midtown Assisted Living",none,FL,"2023-05-01 08:53:19",lorrel.filliater,
" -Oasis at the Keys Nursing and Rehab",none,FL,"2023-05-01 08:59:03",lorrel.filliater,
" -Oasis Living Quarters",none,FL,"2023-05-01 08:58:13",lorrel.filliater,
" -Oasis of Boynton Beach",none,FL,"2023-05-01 08:57:18",lorrel.filliater,
" -Plaza Of Hallandale",none,FL,"2023-05-01 08:54:35",lorrel.filliater,
" -Seaside Manor of Ormond Beach",none,FL,"2023-05-01 08:56:44",lorrel.filliater,
" -The Residence at Dania",none,FL,"2023-05-01 08:53:45",lorrel.filliater,
"603 Healthcare",none,NY,"2024-08-15 14:40:07",lorrel.filliater,
" -Bedford Hills",none,NH,"2024-09-03 10:24:06",lorrel.filliater,
" -Langdon Place Dover",none,NH,"2024-09-03 10:25:43",lorrel.filliater,
" -Langdon Place Exeter",none,NH,"2024-09-03 10:26:42",lorrel.filliater,
" -Langdon Place Keene",none,NH,"2024-09-03 10:26:19",lorrel.filliater,
" -Langdon Place Nashua",none,NH,"2024-09-03 10:27:10",lorrel.filliater,
" -Mineral Springs",none,NH,"2024-09-03 10:24:59",lorrel.filliater,
" -The Elms Center",none,NH,"2024-09-03 10:25:16",lorrel.filliater,
" -Wolfeboro Bay Center",none,NH,"2024-09-03 10:24:36",lorrel.filliater,
"A.G. Rhodes Inc",none,GA,"2021-04-02 13:09:45",Mandy.Lytle,
" -A.G. Rhodes Health &amp; Rehab Atlanta",none,GA,"2021-04-02 13:10:31",Mandy.Lytle,"2023-10-31 15:02:50 by traci.varon"
" -A.G. Rhodes Health &amp; Rehab Cobb",none,GA,"2021-04-02 13:10:42",Mandy.Lytle,
" -A.G. Rhodes Health &amp; Rehab Wesley Woods",none,GA,"2021-04-02 13:10:59",Mandy.Lytle,
"AA Healthcare Management",none,IL,"2024-12-09 09:28:42",lorrel.filliater,
" -Avina of Fond du Lac",none,WI,"2024-12-13 11:31:53",lorrel.filliater,"2025-09-16 12:54:50 by lorrel.filliater"
" -Avina of Milwaukee",none,WI,"2025-09-16 13:05:31",lorrel.filliater,
