"Document ID","Document Title",Categories,"Number of Downloads"
471093,"ADMIN-Abuse, Neglect and Exploitation","Policies and Procedures",965
495831,"IC &#8211; COVID-19 Prevention, Response and Reporting updated 05182023","Policies and Procedures",659
495251,"Administration – Abuse Neglect and Exploitation Policy",Administrative,620
495833,"IC &#8211; COVID-19 Testing Policy updated 05172023","Policies and Procedures",584
495851,"IC &#8211; Coronavirus (COVID-19) Testing QRG &#8211; updated 05182023 TOOL","Policies and Procedures",486
471210,"SKIN &#8211; Pressure Injury and Non pressure Injury Policy","Policies and Procedures",485
473068,"Abuse Neglect and Exploitation",Nursing,444
474849,"IC &#8211; COVID-19: Visitation OUTBREAK SIGN","Policies and Procedures",402
485285,"IC &#8211; Infection Outbreak Response and Investigation","Policies and Procedures",389
477751,"Document Id: 477751 (Deleted)",,372
474955,"IC – Return to Work Criteria for Healthcare Personnel with COVID-19 Infection or Exposure to COVID-19","Policies and Procedures",366
472338,"COMPLIANCE &#8211; Grievance","Policies and Procedures",364
474181,"NSG &#8211; Change in Condition of the Resident","Policies and Procedures",357
501414,"Infection Control – Transmission Based Isolation Precautions",Nursing,346
496568,"Nursing Process – Notification of Changes Policy",Nursing,343
501471,"COVID Prevention, Response and Reporting Policy","Policies and Procedures",338
494969,"Administration – Transfer and Discharge Including AMA Policy",Administrative,336
467357,"Clinically Unavoidable Weight loss/Abnormal Labs/Pressure Ulcers",Nursing,333
497361,"Residents Rights Regarding Treatment and Advance Directives Policy","Social Services",327
494889,"Administration – Compliance with Reporting Allegations of Abuse Neglect Exploitation Policy",Administrative,323
486046,"IC &#8211; Infection Surveillance","Policies and Procedures",312
471013,"ADMIN &#8211; QAPI","Policies and Procedures",310
496882,"Resident Rights Policy","Social Services",304
471059,"ADMIN-Transfer and Discharge (including AMA)","Policies and Procedures",303
467162,"100 Fall Intervention",Nursing,302
496349,"Comprehensive Care Plans Policy",MDS,293
506142,"Document Id: 506142 (Deleted)",,291
508912,"Nursing Process – Fall Prevention Program Policy",Nursing,291
471295,"Document Id: 471295 (Deleted)",,289
482975,Abuse-Neglect-and-Exploitation-Policy,Nursing,289
474183,"NSG &#8211; Change in Condition of the Resident &#8211; When to report to the MD/NP/PA TOOL","Policies and Procedures",276
472349,"COMPLIANCE &#8211; Resident Rights","Policies and Procedures",274
471145,"HR Disciplinary Counseling FORM","Policies and Procedures",270
475408,"Document Id: 475408 (Deleted)",,270
495841,"IC &#8211; Staff COVID-19 awareness posting 05192023 TOOL","Policies and Procedures",270
495185,"Administration – Elopements and Wandering Residents Policy",Administrative,262
477400,"IC &#8211; Hand Hygiene","Policies and Procedures",261
472171,"NSG &#8211; Elopement and Unsafe Wandering","Policies and Procedures",260
