"Document ID","Document Title",Categories,"Number of Downloads"
450968,"Novel Coronavirus Prevention and Response Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",2457
451019,"Coronavirus Surveillance Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",2181
36177,"Policies and Procedures Table of Contents","* Table of Contents for P&amp;Ps, *Table of Contents for P&amp;Ps, *Table of Contents for P&amp;Ps, Administration, Administration, Administration, Assisted Living, Government Initiatives, MEGA Rule, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",2116
451218,"Interim COVID-19 Visitation Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",1807
451125,"Emergency Planning for Coronavirus (COVID-19) Action Plan","Administrative, Assisted Living, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Emergency Preparedness Tools, Forms and Checklists, Forms and Tools, Forms and Tools, Forms and Tools, Infection Control, Nursing, Safety, Safety, Tools and Templates",1530
452190,"COVID-19 Reporting Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Nursing, Nursing, Nursing, Nursing Processes, Nursing Processes, Nursing Processes, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",1418
39323,"Hand Hygiene Validation Checklist","Forms and Checklists, Infection Control, Nursing, Tools and Templates",1378
451025,"Coronavirus Screening Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",1345
35034,"Mega Rule Phase 3 Tools List","Government Initiatives, MEGA Rule, Phase 3, Supplemental Documents, Survey Management, Survey Management Tools, Tools and Templates",1251
451544,"COVID-19 Infection Control Observations","Assisted Living, Common Infections, Common Infections, Infection Control, Infection Control, Infection Control, Nursing, Staff Development, Staff Development, Tools and Templates, Tools and Templates, Training",1206
450562,"Infection Outbreak Response and Investigation Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",1155
40935,"Binder Basics: Infection Control","Binder Basics, Government Initiatives, Infection Control, MEGA Rule, Nursing, Phase 1, Supplemental Documents, Tools and Templates",1095
27919,"F-Tag Regulatory Grouping Chart","Appendix PP (F-Tags), General Information, Government Initiatives, MEGA Rule, Survey and Certification, Survey Procedures",1094
451603,"COVID-19 Tools and Resource List","Forms and Checklists, Infection Control, Nursing, Tools and Templates",1025
455447,"Coronavirus Testing Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",1002
37213,"Hand Hygiene Policy","Assisted Living, Environmental Services, Environmental Services, Environmental Services, Environmental Services, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",982
39428,"Inservice Sign In Sheet","*Inservice Sign In Sheet, *Inservice Sign In Sheet, Assisted Living, General Information, Government Initiatives, MEGA Rule, Staff Development, Staff Development, Supplemental Documents, Tools and Templates, Tools and Templates",921
40792,"Trauma Informed Care Policy","Assisted Living, Policies and Procedures, Policies and Procedures, Policies and Procedures, Social Services, Social Services, Social Services, Tools and Templates, Tools and Templates",872
36939,"Emergency Staffing Policy","Administrative, Assisted Living, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Emergency Preparedness Tools, Government Initiatives, MEGA Rule, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Safety, Tools and Templates, Tools and Templates",861
37219,"Isolation Precautions Policy","Assisted Living, Environmental Services, Environmental Services, Environmental Services, Environmental Services, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",835
451205,"Psychosocial Well-Being/Mood &#8220;I&#8221; Care Plan (COVID-19)","“I” Care Plans, Assisted Living, Care Plans, Care Plans, Care Plans, Government Initiatives, MDS, MEGA Rule, Phase 1, Social Services, Tools and Templates, Tools and Templates",817
451413,"COVID-19 Focused Survey for Nursing Homes Tool","1. LTC Survey Process Procedures, Assisted Living, CDC, CDC, Coronavirus, Coronavirus, Guidance Documents, Guidance Documents, Long Term Care Survey Process, Regulations, Regulatory Agencies, Survey and Certification",808
39200,"Infection Prevention and Control Program Policy","Assisted Living, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",804
39622,"Nurse Aide Competency Checklist","Assisted Living, Competencies, Competencies, Staff Development, Staff Development, Tools and Templates, Tools and Templates",798
37216,"Handling Soiled Linen Policy","Assisted Living, Environmental Services, Environmental Services, Environmental Services, Environmental Services, Government Initiatives, Infection Control, Infection Control, Infection Control, Infection Control, MEGA Rule, Nursing, Phase 1, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates, Tools and Templates",758
40016,"Transmission-Based Precautions &#8211; Infection Control Policy and Policy Review Test (Questions with Answer Key)","Assisted Living, Infection Control, Infection Control, Infection Control, Nursing, Prevention, Prevention, Staff Development, Staff Development, Tools and Templates, Tools and Templates, Training",757
31109,"Trauma Informed Care Training Presentation","Assisted Living, Government Initiatives, MEGA Rule, Phase 3, Social Services, Staff Development, Staff Development, Tools and Templates, Tools and Templates, Training, Trauma Informed Care, Trauma Informed Care, Trauma Informed Care",742
450974,"QSO Letter 20-14: Guidance for Infection Control and Prevention of Coronavirus Disease 2019 (COVID-19) in Nursing Homes (Revised)","2020 Fiscal Year, CDC, Survey and Certification, Survey and Certification Letters",730
