"Document ID","Document Title",Categories,"Number of Downloads"
36609,"Abuse, Neglect and Exploitation Policy","Administration, Policies and Procedures, Tools and Templates",11
43666,"Binder Basics: Restorative Nursing Services","Binder Basics, Nursing, Restorative Nursing Services, Tools and Templates",10
39215,"Influenza Vaccination Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",9
39428,"Inservice Sign In Sheet","*Inservice Sign In Sheet, Staff Development, Tools and Templates",8
40459,"QAPI Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Performance Improvement Projects, QAPI, Tools and Templates",7
444360,"Enhanced Barrier Precautions Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",6
525572,"December 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",6
40596,"Food Safety Requirements Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",6
40228,"Resident Rights and Facility Responsibilities Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Resident Rights, Social Services, Social Services, Staff Development, Tools and Templates, Training",5
37213,"Hand Hygiene Policy","Emergency Preparedness, Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",5
37410,"Medical Examination &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",5
38124,"Fall Prevention Program Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",5
34305,"Binder Basics: Social Services","Binder Basics, Social Services, Tools and Templates",5
38206,"Turning and Repositioning Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",5
36897,"Elopements and Wandering Residents Policy","Administration, Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",4
516364,"Medication Cart and Room Audit Checklist","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",4
38118,"Walking Shift Reporting (Nurses)","Nursing, Supplemental Tools, Tools and Templates",4
36096,"Change of Room or Roommate Form","Forms and Checklists, Social Services, Tools and Templates",4
39323,"Hand Hygiene CNA Validation Checklist","Competencies and Skills, Forms and Checklists, Infection Control, Nursing, Staff Development, Tools and Templates",4
466448,"Therapeutic Leave Policy","Administration, Policies and Procedures, Tools and Templates",4
465788,"Job Performance Appraisal &#8211; Word Document","Forms and Checklists, Human Resources, Tools and Templates",4
13141,"Cold Weather Safety and Older Adults","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",4
38385,"Medication Administration Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",4
36177,"Policies and Procedures Table of Contents","*Table of Contents for P&amp;Ps, Administration, Policies and Procedures, Tools and Templates",4
40935,"Binder Basics: Infection Control","Binder Basics, Infection Control, Nursing, Tools and Templates",4
38219,"Wound Treatment Management Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",4
496211,"Pressure Ulcers/Injuries Process Auditing Chart Review","Administrative, Process Auditing Tools, QAPI, Tools and Templates",4
454887,"Elopement Drill Documentation Form","Nursing, Supplemental Tools, Tools and Templates",4
35542,"Temperatures for Safe Food Handling Infographic","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",4
453979,"Resident Aggression: Understanding and Managing Difficult Behaviors Training Presentation","Behavioral Health Services, Social Services, Staff Development, Tools and Templates, Training",4
40581,"Wound Care Validation Checklist","Competencies and Skills, Non-Pressure Injuries, Nursing, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",4
37051,"Emergency Preparedness Collaboration Tracking Log","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",4
484883,"Facility Admission Checklist","Administrative, Admissions, Business Office, Nursing, Supplemental Tools, Tools, Tools and Templates",3
456702,"Business Office Manager Job Description","Human Resources, Job Descriptions, Tools and Templates",3
465708,"Human Resources Director Job Description","Human Resources, Job Descriptions, Tools and Templates",3
36432,"Staff Orientation Form","Forms and Checklists, Human Resources, Tools and Templates",3
35653,"Bed Rails Informed Consent for Use Form","Falls Prevention, Forms and Checklists, Nursing, Supplemental Tools, Tools and Templates",3
460078,"Baseline Care Plan Summary Form","MDS, Supplemental Tools, Tools and Templates",3
552003,"QSO Letter 26-02: Questions &amp; Answers for State Recovery after the Federal Government Shutdown","2026 Fiscal Year, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",3
38388,"Medication Administration via Enteral Tube Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
504414,"Be Ready! Winter Weather Infographic","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",3
37374,"Employment Application &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
460193,"Hypoglycemia Management Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
