"Document ID","Document Title",Categories,"Number of Views"
529930,"Appendix PP Changes &#8211; 2025 Crosswalk","*Table of Contents for P&amp;Ps, Policies and Procedures, Survey Management, Survey Management Tools, Tools and Templates",1229
525533,"QSO Letter 25-14 (25-07 and 25-12 REVISED): Revised Long-Term Care (LTC) Surveyor Guidance: Significant Revisions to Enhance Quality and Oversight of the LTC Survey Process","2025 Fiscal Year, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",521
527004,"New and Revised Policies and Procedures 2024","*Table of Contents for P&amp;Ps, Policies and Procedures, Tools and Templates",396
487933,"Citation Frequency Report (February 2025)","Appendix PP (F-Tags), Survey and Certification",387
510918,"F-Tag Policy Crosswalk","*Table of Contents for P&amp;Ps, Policies and Procedures, Tools and Templates",274
39200,"Infection Prevention and Control Program Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",169
525538,"Advance Copy Survey Process Critical Element Pathway Revisions &#8211; Effective 4/28/25","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",153
468145,"Psychotropic Medication Informed Consent Form","Forms and Checklists, Forms for Medication Management, Medication Management, Nursing, Social Services, Tools and Templates",142
38454,"Use of Psychotropic Medication(s) Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",139
36177,"Policies and Procedures Table of Contents","*Table of Contents for P&amp;Ps, Administration, Policies and Procedures, Tools and Templates",138
531742,"OSHA Enforcement Memo: Enforcement Stay of the COVID-19 Recordkeeping and Reporting Requirements under 29 CFR 1910.502","5. Miscellaneous, General OSHA Information, OSHA, Safety",132
529941,"Five Star Ratings (January 2025)","Five Star Quality Rating System, Star Ratings, Survey and Certification",116
444360,"Enhanced Barrier Precautions Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",110
508639,"**Survey Management Tools List","Survey Management, Survey Management Tools, Tools and Templates",106
36213,"Admissions Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",100
38363,"Gradual Dose Reduction of Psychotropic Drugs Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",97
496214,"Psychotropic Medication Use Process Auditing Chart Review","Administrative, Process Auditing Tools, QAPI, Tools and Templates",94
36451,"Binder Basics: Medication Management","Binder Basics, Medication Management, Nursing, Tools and Templates",93
484883,"Facility Admission Checklist","Administrative, Admissions, Business Office, Nursing, Supplemental Tools, Tools, Tools and Templates",92
40935,"Binder Basics: Infection Control","Binder Basics, Infection Control, Nursing, Tools and Templates",89
38398,"Medication Monitoring Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",81
37383,"Facility Staff Tracking &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",80
29720,"Required Transfer and Discharge Notices Flowchart","Administrative, Business Office, Forms and Checklists, Social Services, Tools, Tools and Templates",80
36626,"Bed Hold Notice Policy","Administration, Policies and Procedures, Tools and Templates",79
36465,"Clinically Contraindicated Dosage Reduction Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",78
27919,"F-Tag Regulatory Grouping Chart","Appendix PP (F-Tags), Survey and Certification",78
37626,"Conducting an Accurate Resident Assessment Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",77
508067,"General Chart Documentation Guidelines Checklist","Nursing, Supplemental Tools, Tools and Templates",75
465321,"MDS 3.0 Quality Measures User&#8217;s Manual &#8211; Version 17.0 (January 1, 2025)","Five Star Quality Rating System, MDS 3.0, Methodology, Quality Measures, Survey and Certification",75
525536,"Advance Copy Appendix PP &#8211; Guidance to Surveyors for Long Term Care Facilities: SOM &#8211; Effective 4/28/25","Appendices, State Operations Manual (SOM), Survey and Certification",74
532479,"HHS Policy Statement on Adhering to the Text of the Administrative Procedure Act","2025 Federal Register, Federal Register, Survey and Certification",74
450968,"COVID-19 Prevention, Response and Reporting Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",73
38238,"Cardiopulmonary Resuscitation (CPR) Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",73
526844,"QSO Letter 25-11: Long Term Care (LTC) Facility Acute Respiratory Illness Reporting Requirements","2025 Fiscal Year, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",72
40114,"Non-Pharmacological Interventions Training Presentation","Non-Pharmacological Interventions, Staff Development, Tools and Templates",72
485500,"Bed Hold Notice","Administrative, Business Office, Forms and Checklists, Social Services, Tools, Tools and Templates",71
530178,"Skilled Nursing Facilities Budgeting Quickstart Toolkit","Administrative, Business Office, Financial Solutions, Tools, Tools, Tools and Templates",71
36046,"General Rounds Mock Survey Checklist","Survey Management, Survey Management Tools, Tools and Templates",70
37413,"Nurse Staffing Posting Information &#8211; HR Policy","Human Resources, Human Resources, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",68
41567,"QAPI Change Process Policy","Administration, Administrative, Policies and Procedures, Policies and Procedures, QAPI, Tools and Templates",67
36261,"Nursing Services and Sufficient Staff Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",67
513130,"*Competencies and Skills Tools List","Competencies and Skills, Staff Development, Tools and Templates",67
36764,"Transfer and Discharge (including AMA) Policy","Administration, Policies and Procedures, Tools and Templates",66
38448,"Unnecessary Drugs Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",66
37623,"Comprehensive Care Plans Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",65
527345,"OSHA Occupational Exposure to COVID-19 in Healthcare Settings &#8211; Final Rule; Termination of Rulemaking","2025 Federal Register, Federal Register, Survey and Certification",65
38284,"Pain Management Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",65
36029,"Administrative Documentation Validation Checklist","Competencies and Skills, Staff Development, Survey Management, Survey Management Tools, Tools and Templates",64
38140,"Restraint Free Environment Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",64
39230,"MDRO Colonization Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",64
40904,"*Survey Management &#8211; A Survey Readiness Tool","Survey Management, Survey Management Tools, Tools and Templates",64
34305,"Binder Basics: Social Services","Binder Basics, Social Services, Tools and Templates",62
39233,"MDRO Infection Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",61
38516,"Discharge Summary Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",61
38431,"PRN Medications Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",60
41570,"QAPI Data Collection Systems Policy","Administration, Administrative, Policies and Procedures, Policies and Procedures, QAPI, Tools and Templates",60
36716,"Quality Assurance and Performance Improvement (QAPI) Policy","Administration, Administrative, Policies and Procedures, Policies and Procedures, QAPI, Tools and Templates",60
36719,"Readmission to Facility Policy","Administration, Policies and Procedures, Tools and Templates",59
38081,"Resident Rooms Policy","Maintenance, Maintenance, Physical Plant, Policies and Procedures, Policies and Procedures, Tools and Templates",58
41576,"QAPI Monitoring Policy","Administration, Administrative, Policies and Procedures, Policies and Procedures, QAPI, Tools and Templates",58
36079,"Survey Preparation Self-Assessment Validation Checklists","Competencies and Skills, Staff Development, Survey Management, Survey Management Tools, Tools and Templates",57
496227,"Schizophrenia and Related Forms Diagnosis Process Auditing Chart Review","Administrative, Process Auditing Tools, QAPI, Tools and Templates",57
35260,"Environmental Room Attendants Checklist","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",57
37422,"Payroll-Based Journal &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",56
