"Document ID","Document Title",Categories,"Number of Downloads"
477317,"Abuse, Neglect and Exploitation Policy",Administrative,118
473624,"Administrative Forms &#8211; Template QARM-QAPI Meeting Minutes",Administrative,48
473621,"Administrative Form &#8211; QAPI Signature Sheet",Administrative,36
473630,"Administrative Policies and Procedures &#8211; QAPI with QA and RM Program",Administrative,36
476751,"Wound Treatment Policy",Nursing,36
501378,"Infection prevention and control","Policies and Procedures",36
488626,"Mock Code Checklist",Nursing,35
474306,"Hand Hygiene",Nursing,33
476741,"Covid-19 and Covid-19 Vaccine Reporting Policy",Nursing,32
473619,"Administrative -Form- Annual Education Plan 2022",Administrative,31
475781,"Accidents and Supervision Policy",Nursing,31
476743,"Covid-19 Return to Work Criteria Policy","Human Resources",31
478003,"Fall Instructions Checklist For Nurses",Nursing,30
489488,"Medication Administration Policy","Policies and Procedures",30
473532,"Clinical &#8211; Policy and Procedure Hemodialysis",Nursing,28
473547,"Clinical Policy and Procedure &#8211; Transmission-Based-Isolation-Precautions",Nursing,28
478053,"COVID-19 Vaccination Policy","Policies and Procedures",27
480841,"Antibiotic Stewardship Policy","Policies and Procedures",27
485522,"Smoking Policy",Nursing,27
488624,"QA Code Blue Review Worksheet",Nursing,27
473638,"Clinical- Policy and Procedure Elopement and Wandering",Nursing,26
474317,"Activities of Daily Living Policy",Nursing,26
475796,"Influenza Policy","Policies and Procedures",26
474308,"Comprehensive Care Plan",MDS,25
473519,"Clinical &#8211; Guideline CNA skin-body audits",Nursing,25
478067,"Elopements and Wandering Residents Policy","Policies and Procedures",25
493352,"Food Brought in from Outside Sources-Policy","Food and Nutrition Services",25
473559,"Clinical Policy and Procedure &#8211; TB-Infection-Control-Plan",Nursing,24
482851,"Document Id: 482851 (Deleted)",,24
473538,"Clinical- Policy and Procedure Medication-Orders",Nursing,23
475734,"Code Status Policy",Nursing,23
478061,"Pneumococcal Vaccine Policy","Policies and Procedures",23
473582,"Clinical Policy and Procedure -Employee Tuberculosis Testing",Nursing,22
475786,"Consent Influenza Vaccine Consent","Policies and Procedures",22
478091,"Skin Evaluation Policy","Policies and Procedures",22
483243,"Medication Error Policy",Nursing,22
484849,"Document Id: 484849 (Deleted)",,22
473549,"Staff Development &#8211; Clinical &#8211; Nurse Glucometer-Disinfection-Validation-Checklist",Nursing,21
476759,"Mechanical Lift Competency","Staff Development",21
485918,"In-service Attendance Record",Nursing,21
473553,"Document Id: 473553 (Deleted)",,20
478049,"Hemodialysis Policy","Policies and Procedures",20
475779,PASARR,"Social Services",20
485733,"Grievance Policy","Social Services",20
473503,"Clinical- Guideline- Fall Instruction for Nurses",Nursing,19
475794,"Hand Hygiene Post Test","Staff Development",19
473521,"Clinical Form -C.N.A Body Audit",Nursing,19
478013,"Fall Intervention Ideas",Nursing,19
478047,"Care Plan Revision Policy","Policies and Procedures",19
484452,"Job Description &#8211; CNA","Human Resources",19
485117,"Document Id: 485117 (Deleted)",,19
493672,"Witness Statement",Administrative,19
512796,"Enhanced Barrier Precautions",Nursing,19
473544,"Clinical Policy and Procedure Provision-of-Physician-Ordered-Services",Nursing,18
478057,"COVID-19 Employee Vaccination Policy","Policies and Procedures",18
477418,"Resident Abuse Prevention and Reporting Training","Staff Development",18
477420,"Resident Rights and Facility Responsibilities","Staff Development",18
476753,"Medication Storage Policy",Nursing,18
480588,"Visitation Including COVID-19 Policy","Policies and Procedures",18
500553,"Coronavirus-Prevention-and Response-Policy-Revised 5/2023",Nursing,18
511287,"Restorative Nursing Log",Nursing,18
473536,"Clinical Policy and Procedure Documentation-in-Medical-Record",Nursing,17
473505,"Clinical &#8211; Guideline Best Practices Fall",Nursing,17
476649,"Clinical &#8211; Catheter Care Policy","Policies and Procedures",17
484195,"CNA Post Fall Review Internal Tool",Nursing,17
485737,"Grievance Form","Social Services",17
509007,"Medication Administration","Staff Development",17
505942,"Admissions- Pre Admissions Clinical-Green-Yellow-Red-Process","Policies and Procedures",17
